Transaction_ID,Customer_ID,Product_Category,Quantity,Price,Date,Product_Name
1876,75353,Electric Vehicle,4,1449100.65,2023-01-22T00:00:00.000+01:00,Electric Crossover SUV
1877,7537,Service and Maintenance,10,2206185.32,2023-10-22T00:00:00.000+02:00,Battery Check and Replacement
1878,62920,Hybrid Vehicle,10,1274905.15,2023-06-14T00:00:00.000+02:00,Luxury Hybrid Coupe
1879,9482,Financing and Insurance,10,2748830.13,2023-12-26T00:00:00.000+01:00,Vehicle Insurance Plans
1880,88601,Parts and Accessories,4,2434054.64,2023-04-07T00:00:00.000+02:00,Custom Alloy Wheels
1881,22470,Financing and Insurance,7,2686854.56,2023-06-17T00:00:00.000+02:00,Extended Warranty Coverage
1882,96705,Service and Maintenance,5,386175.73,2023-09-02T00:00:00.000+02:00,Brake Inspection and Replacement
1883,532,Commercial Vehicle,6,907467.01,2023-11-16T00:00:00.000+01:00,Passenger Wagon
1884,10259,Service and Maintenance,10,2073234.31,2023-12-07T00:00:00.000+01:00,Brake Inspection and Replacement
1885,84628,Service and Maintenance,10,737959.9,2023-09-23T00:00:00.000+02:00,Battery Check and Replacement
1886,20989,Electric Vehicle,10,2075804.98,2023-02-04T00:00:00.000+01:00,Electric Commercial Van
1887,84175,Special Offers,7,20349.35,2023-12-08T00:00:00.000+01:00,Trade-In Bonus Offer
1888,63673,Parts and Accessories,5,1561779.69,2023-09-18T00:00:00.000+02:00,Roof Racks and Carriers
1889,7712,Financing and Insurance,9,673155.16,2023-02-15T00:00:00.000+01:00,Vehicle Insurance Plans
1890,22040,Special Offers,8,776765.7,2023-08-17T00:00:00.000+02:00,Financing Rate Promotion
1891,67325,Service and Maintenance,2,1955294.65,2023-05-07T00:00:00.000+02:00,Tire Rotation and Alignment
1892,85482,Hybrid Vehicle,2,1788379.41,2023-01-05T00:00:00.000+01:00,Luxury Hybrid Coupe
1893,60733,Special Offers,5,1353016.86,2023-02-21T00:00:00.000+01:00,Exclusive Accessory Bundle Deal
1894,8759,Electric Vehicle,3,2054684.49,2023-02-25T00:00:00.000+01:00,Electric Luxury Sedan
1895,27141,Special Offers,2,1591239.5,2023-05-19T00:00:00.000+02:00,Financing Rate Promotion
1896,59278,Financing and Insurance,3,1471242.91,2023-07-28T00:00:00.000+02:00,New Vehicle Loan
1897,83786,Service and Maintenance,8,874976.31,2023-03-07T00:00:00.000+01:00,Engine Diagnostic and Repair
1898,63136,Standard Vehicle,7,240216.92,2023-03-27T00:00:00.000+02:00,Full-Size Sedan
1899,69312,Performance Vehicle,9,172079.57,2023-05-15T00:00:00.000+02:00,Track-Focused Sports Car
1900,12973,Special Offers,2,825030.44,2023-12-02T00:00:00.000+01:00,Limited-Time Discount on New Models
1901,60667,Special Offers,8,369189.54,2023-11-14T00:00:00.000+01:00,Limited-Time Discount on New Models
1902,87949,Commercial Vehicle,6,2078035.06,2023-10-08T00:00:00.000+02:00,Heavy-Duty Pickup Truck
1903,28135,Commercial Vehicle,4,2008342.65,2023-01-28T00:00:00.000+01:00,Chassis Cab
1904,42087,Special Offers,10,915741.06,2023-05-30T00:00:00.000+02:00,Financing Rate Promotion
1905,3607,Hybrid Vehicle,3,1514086.91,2023-04-14T00:00:00.000+02:00,Compact Hybrid Sedan
1906,8756,Standard Vehicle,4,151330.13,2023-11-30T00:00:00.000+01:00,Midsize SUV
1907,96669,Service and Maintenance,3,1926683.4,2023-01-26T00:00:00.000+01:00,Brake Inspection and Replacement
1908,80640,Service and Maintenance,1,1495534.32,2023-02-01T00:00:00.000+01:00,Brake Inspection and Replacement
1909,4732,Parts and Accessories,6,2681113.56,2023-04-06T00:00:00.000+02:00,Car Audio and Entertainment Systems
1910,97650,Hybrid Vehicle,2,1856448.05,2023-01-25T00:00:00.000+01:00,Compact Hybrid Sedan
1911,41816,Hybrid Vehicle,2,1973775.64,2023-12-08T00:00:00.000+01:00,Compact Hybrid Sedan
1912,73798,Performance Vehicle,1,823463.7,2023-05-17T00:00:00.000+02:00,Performance Electric Model
1913,85576,Electric Vehicle,8,1870509.67,2023-09-06T00:00:00.000+02:00,Electric Crossover SUV
1914,41672,Financing and Insurance,3,1150560.91,2023-06-04T00:00:00.000+02:00,Vehicle Insurance Plans
1915,251,Standard Vehicle,9,2411845.95,2023-12-14T00:00:00.000+01:00,Small Hatchback
1916,49641,Standard Vehicle,9,2253443.0,2023-10-02T00:00:00.000+02:00,Compact Sedan
1917,28787,Hybrid Vehicle,8,416884.92,2023-04-04T00:00:00.000+02:00,Luxury Hybrid Coupe
1918,8132,Hybrid Vehicle,5,1821785.68,2023-08-31T00:00:00.000+02:00,Full-Size Hybrid Pickup Truck
1919,13676,Performance Vehicle,4,1344664.09,2023-01-16T00:00:00.000+01:00,Luxury Performance Sedan
1920,2428,Hybrid Vehicle,3,636514.39,2023-03-20T00:00:00.000+01:00,Midsize Hybrid SUV
1921,7062,Commercial Vehicle,4,1654013.14,2023-09-28T00:00:00.000+02:00,Heavy-Duty Pickup Truck
1922,11829,Hybrid Vehicle,8,976290.18,2023-08-28T00:00:00.000+02:00,Midsize Hybrid SUV
1923,22187,Parts and Accessories,2,2649132.35,2023-03-29T00:00:00.000+02:00,Roof Racks and Carriers
1924,96006,Parts and Accessories,8,251652.54,2023-12-25T00:00:00.000+01:00,Vehicle Navigation Systems
1925,51607,Commercial Vehicle,8,2008529.51,2023-03-17T00:00:00.000+01:00,Cargo Van
1926,5260,Parts and Accessories,5,2015692.83,2023-12-05T00:00:00.000+01:00,All-Weather Floor Mats
1927,24786,Financing and Insurance,7,1494585.76,2023-08-16T00:00:00.000+02:00,Extended Warranty Coverage
1928,39750,Standard Vehicle,1,279973.18,2023-01-30T00:00:00.000+01:00,Midsize SUV
1929,2625,Electric Vehicle,2,721365.71,2023-06-19T00:00:00.000+02:00,Electric Crossover SUV
1930,56208,Performance Vehicle,3,2173539.04,2023-05-28T00:00:00.000+02:00,Performance Electric Model
1931,69776,Financing and Insurance,10,8440.3,2023-03-15T00:00:00.000+01:00,New Vehicle Loan
1932,78458,Special Offers,6,669388.08,2023-11-06T00:00:00.000+01:00,Exclusive Accessory Bundle Deal
1933,55998,Hybrid Vehicle,9,649830.28,2023-04-14T00:00:00.000+02:00,Midsize Hybrid SUV
1934,48473,Standard Vehicle,8,522278.48,2023-12-19T00:00:00.000+01:00,Full-Size Sedan
1935,7869,Standard Vehicle,2,848273.22,2023-06-30T00:00:00.000+02:00,Full-Size Sedan
1936,42208,Electric Vehicle,7,1182950.34,2023-12-30T00:00:00.000+01:00,Electric Luxury Sedan
1937,4861,Special Offers,3,1603795.66,2023-03-15T00:00:00.000+01:00,Limited-Time Discount on New Models
1938,40520,Performance Vehicle,1,2597859.86,2023-05-29T00:00:00.000+02:00,High-Performance Sports Coupe
1939,40519,Service and Maintenance,9,635978.12,2023-02-25T00:00:00.000+01:00,Oil Change and Lubrication Service
1940,71222,Commercial Vehicle,10,2689970.7,2023-11-26T00:00:00.000+01:00,Heavy-Duty Pickup Truck
1941,17631,Parts and Accessories,7,67107.42,2023-11-10T00:00:00.000+01:00,All-Weather Floor Mats
1942,55552,Commercial Vehicle,5,801269.05,2023-04-26T00:00:00.000+02:00,Box Truck
