Product_Category,Product_Name,Quantity,Stock_Level
Standard Vehicle,Station Wagon,11,MEDIUM
Service and Maintenance,Oil Change and Lubrication Service,47,MEDIUM
Service and Maintenance,Tire Rotation and Alignment,48,MEDIUM
Service and Maintenance,Brake Inspection and Replacement,14,MEDIUM
Performance Vehicle,High-Performance Sports Coupe,1,LOW
Performance Vehicle,Luxury Performance Sedan,68,HIGH
Performance Vehicle,High-Speed Performance SUV,83,HIGH
Performance Vehicle,Track-Focused Sports Car,44,MEDIUM
Financing and Insurance,Used Vehicle Financing,42,MEDIUM
Financing and Insurance,Lease Agreements,1,LOW
Financing and Insurance,Extended Warranty Coverage,91,HIGH
Financing and Insurance,Vehicle Insurance Plans,85,HIGH
Parts and Accessories,Custom Alloy Wheels,93,HIGH
Parts and Accessories,Vehicle Navigation Systems,19,MEDIUM
Parts and Accessories,All-Weather Floor Mats,49,MEDIUM
Parts and Accessories,Roof Racks and Carriers,69,HIGH
Hybrid Vehicle,Full-Size Hybrid Pickup Truck,94,HIGH
Electric Vehicle,All-Electric Compact Car,68,HIGH
Electric Vehicle,Electric Crossover SUV,12,MEDIUM
Electric Vehicle,Electric Luxury Sedan,16,MEDIUM
Commercial Vehicle,Cargo Van,18,MEDIUM
Commercial Vehicle,Chassis Cab,26,MEDIUM
Commercial Vehicle,Box Truck,31,MEDIUM
Commercial Vehicle,Passenger Wagon,60,HIGH
Special Offers,Seasonal Service Package Discount,97,HIGH
Special Offers,Financing Rate Promotion,36,MEDIUM
Special Offers,Exclusive Accessory Bundle Deal,60,HIGH
Service and Maintenance,Battery Check and Replacement,83,HIGH
Service and Maintenance,Engine Diagnostic and Repair,20,MEDIUM
Parts and Accessories,Car Audio and Entertainment Systems,49,MEDIUM
Financing and Insurance,New Vehicle Loan,3,LOW
Performance Vehicle,Performance Electric Model,99,HIGH
Commercial Vehicle,Heavy-Duty Pickup Truck,98,HIGH
Special Offers,Limited-Time Discount on New Models,56,HIGH
Special Offers,Trade-In Bonus Offer,37,MEDIUM
Electric Vehicle,Electric Sports Car,37,MEDIUM
Electric Vehicle,Electric Commercial Van,44,MEDIUM
Hybrid Vehicle,Compact Hybrid Sedan,24,MEDIUM
Hybrid Vehicle,Midsize Hybrid SUV,85,HIGH
Hybrid Vehicle,Luxury Hybrid Coupe,34,MEDIUM
Hybrid Vehicle,Hybrid Hatchback,27,MEDIUM
Standard Vehicle,Full-Size Sedan,94,HIGH
Standard Vehicle,Small Hatchback,89,HIGH
Standard Vehicle,Compact Sedan,15,MEDIUM
Standard Vehicle,Midsize SUV,67,HIGH
